,id,room_type,neighbourhood,price,review_scores_rating,review_scores_cleanliness,review_scores_communication
7925,851178491752917866,Private room,,,,,
7926,851196496849509818,Entire home/apt,"Athina, Greece",55.0,4.83,4.86,4.92
7927,851233179788746229,Entire home/apt,,71.0,4.67,4.5,5.0
7928,851260284455167540,Entire home/apt,"Athina, Greece",96.0,4.82,4.71,4.94
7929,851270553446139558,Entire home/apt,,76.0,4.86,4.29,4.71
7930,851286750082720671,Entire home/apt,"Athina, Greece",135.0,5.0,5.0,5.0
7931,851298064828542107,Entire home/apt,"Athina, Greece",78.0,4.86,4.86,5.0
7932,851321512121172242,Entire home/apt,"Athina, Greece",44.0,5.0,5.0,5.0
7933,851329171993661585,Entire home/apt,"Athina, Greece",113.0,4.71,4.8,4.88
7934,851347416349523734,Entire home/apt,"Athina, Greece",46.0,3.33,3.33,3.67
7935,851351098833170535,Entire home/apt,,120.0,5.0,4.83,4.5
7936,851430324393481535,Entire home/apt,"Athina, Greece",53.0,4.96,4.9,5.0
7937,851431923064999786,Entire home/apt,,45.0,4.83,4.87,4.87
7938,851460795860831730,Entire home/apt,,59.0,4.8,4.8,4.8
7939,851463616033451096,Entire home/apt,,47.0,4.66,4.73,4.89
7940,851466650443825679,Entire home/apt,,183.0,5.0,5.0,4.67
7941,851509700824769895,Entire home/apt,,48.0,4.93,4.89,4.93
7942,851510252016097092,Entire home/apt,"Athina, Greece",74.0,4.72,4.63,4.89
7943,851514520656224915,Entire home/apt,,67.0,4.61,4.74,4.61
7944,851514887858003523,Entire home/apt,"Athina, Greece",34.0,4.53,4.83,4.9
7945,851893643991822803,Entire home/apt,"Athina, Greece",71.0,4.91,4.91,4.98
7946,851916212841799810,Entire home/apt,,39.0,4.47,4.59,4.76
7947,851919070987990407,Entire home/apt,"Athina, Greece",68.0,4.79,4.76,4.9
7948,851924680110660432,Entire home/apt,,40.0,4.45,4.18,4.45
7949,851928942915198570,Entire home/apt,,,4.81,4.62,4.86
7950,851935218350678700,Entire home/apt,,39.0,4.59,4.48,4.83
7951,851939360663872730,Entire home/apt,,39.0,4.2,4.45,4.65
7952,851942512697654348,Entire home/apt,,41.0,4.85,4.96,4.96
7953,851945528829352160,Entire home/apt,,,4.66,4.69,4.9
7954,852008517941480972,Entire home/apt,,134.0,4.65,4.76,4.65
7955,852090760205601549,Entire home/apt,,35.0,4.71,4.71,5.0
7956,852136757088060847,Entire home/apt,,85.0,4.83,4.83,4.78
7957,852226631003929693,Entire home/apt,,106.0,4.71,4.71,4.93
7958,852229300980580833,Entire home/apt,,114.0,,,
7959,852248670295620205,Private room,"Athina, Greece",99.0,5.0,5.0,5.0
7960,852262407495375507,Entire home/apt,,78.0,4.74,4.79,4.95
7961,852300603400255106,Entire home/apt,"Athina, Greece",119.0,4.96,4.98,4.93
7962,852463719011747480,Entire home/apt,,66.0,5.0,5.0,5.0
7963,852622355550027364,Entire home/apt,,154.0,5.0,5.0,4.75
7964,852633272269973179,Entire home/apt,,190.0,5.0,5.0,5.0
7965,852683468386900957,Entire home/apt,,40.0,5.0,5.0,4.89
7966,852718025266835895,Entire home/apt,,84.0,,,
7967,852728830778606061,Entire home/apt,,165.0,4.81,4.81,4.76
7968,852801455763697494,Entire home/apt,"Athina, Greece",130.0,5.0,5.0,5.0
7969,852878309104056868,Entire home/apt,"Athina, Greece",30.0,4.59,4.76,4.85
7970,852889835627959151,Entire home/apt,,68.0,5.0,5.0,5.0
7971,852990601755767745,Entire home/apt,"Athina, Greece",56.0,,,
7972,852995104596908449,Private room,"Athina, Greece",118.0,5.0,5.0,5.0
7973,853017260546248111,Entire home/apt,,193.0,5.0,5.0,5.0
7974,853285005281009309,Entire home/apt,"Athina, Greece",54.0,4.96,5.0,4.96
7975,853350935663626257,Entire home/apt,,40.0,4.95,4.8,4.95
7976,853359371700391575,Entire home/apt,,150.0,4.66,4.66,4.4
7977,853365366276480432,Entire home/apt,"Athina, Greece",85.0,5.0,5.0,5.0
7978,853463735890464943,Private room,,39.0,5.0,5.0,5.0
7979,853466231993477443,Private room,,22.0,4.0,4.0,3.0
7980,853487571841687399,Entire home/apt,"Athina, Greece",213.0,4.66,4.84,4.63
7981,853506466260088167,Entire home/apt,"Athina, Greece",80.0,4.79,4.92,4.5
7982,860852124069785475,Entire home/apt,"Athina, Greece",80.0,4.97,4.89,5.0
7983,853539042145046711,Entire home/apt,,64.0,,,
7984,853578392394949056,Entire home/apt,"Athina, Greece",76.0,4.9,4.96,4.96
7985,854048242939293534,Entire home/apt,"Athina, Greece",64.0,,,
7986,854109789161085058,Entire home/apt,,60.0,4.83,4.95,4.82
7987,854162744800800876,Entire home/apt,,61.0,4.0,5.0,4.0
7988,854193456224453070,Entire home/apt,"Athina, Greece",69.0,4.58,4.53,4.79
7989,854228666249538686,Entire home/apt,"Athina, Greece",58.0,4.57,4.62,4.83
7990,854250466092499493,Private room,"Athina, Greece",108.0,5.0,5.0,5.0
7991,854283273798173340,Private room,"Athina, Greece",89.0,4.29,4.43,4.71
7992,854743258998600759,Private room,"Athina, Greece",80.0,5.0,4.0,5.0
7993,854836337119266629,Entire home/apt,"Athina, Greece",60.0,4.75,5.0,5.0
7994,854993464839905188,Entire home/apt,"Athina, Greece",47.0,4.9,5.0,5.0
7995,855033361898288968,Entire home/apt,"Athina, Greece",37.0,5.0,5.0,5.0
7996,855553501127710354,Entire home/apt,"Athina, Greece",152.0,5.0,4.86,5.0
7997,855632491915796342,Entire home/apt,"Athina, Greece",36.0,4.69,4.74,4.94
7998,855678326359646974,Entire home/apt,"Athina, Greece",62.0,4.53,4.53,4.67
7999,855808173656509519,Entire home/apt,,76.0,4.5,4.5,5.0
8000,855838421523483603,Entire home/apt,,116.0,5.0,5.0,4.0
8001,855841442939287661,Entire home/apt,"Athina, Greece",117.0,,,
8002,855874065115835547,Entire home/apt,,60.0,4.5,5.0,5.0
8003,856184832176054374,Entire home/apt,,167.0,,,
8004,856196563993333601,Private room,,29.0,4.0,5.0,4.0
8005,856217015630096011,Entire home/apt,,202.0,,,
8006,856326687858850157,Entire home/apt,"Athina, Greece",46.0,4.56,4.38,4.95
8007,856496122543907394,Private room,"Athina, Greece",184.0,5.0,5.0,5.0
8008,856542088933002172,Entire home/apt,"Athina, Greece",83.0,4.89,5.0,5.0
8009,856581536246620930,Entire home/apt,"Athina, Greece",117.0,4.82,4.88,4.94
